<<<<<<< HEAD
,sim_name,area_total,area_conditioned,area_unconditioned,building_type,ashrae_standard,weather_file,climate_zone,annual_coil_heating_kbtu,annual_coil_cooling_kbtu
0,OfficeLarge_STD2013_InternationalFalls,498637.07,498637.07,0.0,OfficeLarge,STD2013,InternationalFalls,7,2891816.953385412,6974577.212650616
1,OfficeSmall_STD2019_GreatFalls,5502.59,5502.59,0.0,OfficeSmall,STD2019,GreatFalls,6B,39314.6004662079,32379.390016008547
2,Hospital_STD2016_Seattle,241524.56,241524.56,0.0,Hospital,STD2016,Seattle,4C,4946124.02720789,6564886.22649524
3,Hospital_STD2019_Seattle,241524.56,241524.56,0.0,Hospital,STD2019,Seattle,4C,4814633.111593788,6604058.94400159
4,OfficeMedium_STD2016_Seattle,53633.04,53633.04,0.0,OfficeMedium,STD2016,Seattle,4C,113854.6524119211,321199.9995194071
5,SchoolPrimary_STD2019_Honolulu,73966.05,73966.05,0.0,SchoolPrimary,STD2019,Honolulu,1A,97.40799598185508,4247370.648759676
6,OfficeMedium_STD2019_Seattle,53633.04,53633.04,0.0,OfficeMedium,STD2019,Seattle,4C,124761.15955600484,315409.28194531705
7,HotelSmall_STD2013_Buffalo,43206.06,40100.48,3105.5799999999945,HotelSmall,STD2013,Buffalo,5A,303096.93347359507,837043.6855706258
8,HotelLarge_STD2019_Fairbanks,122131.57,122131.57,0.0,HotelLarge,STD2019,Fairbanks,8,1898039.8961925644,829671.9627407404
9,RetailStandalone_STD2019_Rochester,24694.74,24694.74,0.0,RetailStandalone,STD2019,Rochester,6A,646816.0552485702,319083.0131940311
10,OfficeMedium_STD2013_GreatFalls,53633.04,53633.04,0.0,OfficeMedium,STD2013,GreatFalls,6B,347083.5158653456,405145.33656549867
11,Hospital_STD2019_Albuquerque,241524.56,241524.56,0.0,Hospital,STD2019,Albuquerque,4B,3595659.6226856983,10426055.8021889
12,RetailStripmall_STD2013_Tucson,22502.2,22502.2,0.0,RetailStripmall,STD2013,Tucson,2B,1622.5887398649652,997279.7165811666
13,OfficeSmall_STD2013_Albuquerque,5502.59,5502.59,0.0,OfficeSmall,STD2013,Albuquerque,4B,3398.74574604199,86354.01102573461
14,ApartmentHighRise_STD2013_Seattle,84359.39,75999.49,8359.899999999994,ApartmentHighRise,STD2013,Seattle,4C,442669.8327216493,185957.00389632155
15,RetailStandalone_STD2016_Denver,24694.74,24694.74,0.0,RetailStandalone,STD2016,Denver,5B,240665.81713172697,355462.2151309648
16,OfficeLarge_STD2013_Seattle,498637.07,498637.07,0.0,OfficeLarge,STD2013,Seattle,4C,736301.7665781556,6458847.370219726
17,RestaurantFastFood_STD2016_PortAngeles,2501.16,2501.16,0.0,RestaurantFastFood,STD2016,PortAngeles,5C,136066.41915399546,27371.94836179598
18,Warehouse_STD2013_Denver,52050.0,52050.0,0.0,Warehouse,STD2013,Denver,5B,340190.29013941006,62263.73973989549
19,RestaurantSitDown_STD2019_Tampa,5502.55,5502.55,0.0,RestaurantSitDown,STD2019,Tampa,2A,20581.767602539923,1331941.9784002916
20,OfficeLarge_STD2016_Albuquerque,498637.07,498637.07,0.0,OfficeLarge,STD2016,Albuquerque,4B,450502.11184198107,10764045.632910423
21,OfficeMedium_STD2019_Albuquerque,53633.04,53633.04,0.0,OfficeMedium,STD2019,Albuquerque,4B,72361.93806401042,789798.6856617617
22,RestaurantSitDown_STD2013_Honolulu,5502.55,5502.55,0.0,RestaurantSitDown,STD2013,Honolulu,1A,0.35719595949471156,1595655.0690116442
23,HotelLarge_STD2019_Albuquerque,122131.57,122131.57,0.0,HotelLarge,STD2019,Albuquerque,4B,98859.31247490426,2501340.63479578
24,RetailStripmall_STD2013_Denver,22502.2,22502.2,0.0,RetailStripmall,STD2013,Denver,5B,219763.72271170965,339615.3850643674
25,SchoolSecondary_STD2019_Fairbanks,210907.12,210907.12,0.0,SchoolSecondary,STD2019,Fairbanks,8,3452070.707138875,1310889.1472053549
26,SchoolPrimary_STD2013_Buffalo,73966.05,73966.05,0.0,SchoolPrimary,STD2013,Buffalo,5A,387505.16559660767,1042379.6235384488
27,Hospital_STD2019_ElPaso,241524.56,241524.56,0.0,Hospital,STD2019,ElPaso,3B,3338888.5537685347,13899369.861981193
28,Hospital_STD2019_GreatFalls,241524.56,241524.56,0.0,Hospital,STD2019,GreatFalls,6B,5245770.141331572,6627634.944887895
29,RestaurantSitDown_STD2016_Rochester,5502.55,5502.55,0.0,RestaurantSitDown,STD2016,Rochester,6A,616555.8046529159,286946.4202063849
30,RestaurantSitDown_STD2013_Seattle,5502.55,5502.55,0.0,RestaurantSitDown,STD2013,Seattle,4C,171464.48674634672,132248.78214129712
31,Warehouse_STD2013_Tucson,52050.0,52050.0,0.0,Warehouse,STD2013,Tucson,2B,1493.1728787511395,275329.73839821224
32,RetailStandalone_STD2016_Tucson,24694.74,24694.74,0.0,RetailStandalone,STD2016,Tucson,2B,4409.898636703298,969857.0318337819
33,OfficeSmall_STD2016_SanDiego,5502.59,5502.59,0.0,OfficeSmall,STD2016,SanDiego,3C,658.5489243297758,69340.92992970198
34,SchoolSecondary_STD2013_Buffalo,210907.12,210907.12,0.0,SchoolSecondary,STD2013,Buffalo,5A,718506.6048191966,3337949.9467502707
35,OfficeSmall_STD2016_InternationalFalls,5502.59,5502.59,0.0,OfficeSmall,STD2016,InternationalFalls,7,69174.54945069719,36382.270371657105
36,RetailStripmall_STD2013_Albuquerque,22502.2,22502.2,0.0,RetailStripmall,STD2013,Albuquerque,4B,61020.642229411926,479515.94437344384
37,OfficeSmall_STD2013_ElPaso,5502.59,5502.59,0.0,OfficeSmall,STD2013,ElPaso,3B,2739.8684651614617,106776.21593063412
38,RestaurantSitDown_STD2013_InternationalFalls,5502.55,5502.55,0.0,RestaurantSitDown,STD2013,InternationalFalls,7,791947.6950728777,206988.49813867663
39,ApartmentMidRise_STD2013_Buffalo,33744.0,30400.0,3344.0,ApartmentMidRise,STD2013,Buffalo,5A,162347.67575110783,286380.4012052349
40,ApartmentMidRise_STD2013_Albuquerque,33744.0,30400.0,3344.0,ApartmentMidRise,STD2013,Albuquerque,4B,62162.3301254775,457895.29602719744
